"variable","contribution_pct","group","n","r_squared"
"q1",21.6968478906544,"Role: Non-Tech",27,0.728947337437593
"q6",15.2257959274662,"Role: Non-Tech",27,0.728947337437593
"q3",13.6368688564516,"Role: Non-Tech",27,0.728947337437593
"q7",13.251832607782,"Role: Non-Tech",27,0.728947337437593
"q2",12.9142819820319,"Role: Non-Tech",27,0.728947337437593
"q4",12.1360073637764,"Role: Non-Tech",27,0.728947337437593
"q5",11.1383653718374,"Role: Non-Tech",27,0.728947337437593
"q3",18.3594028320501,"Role: Tech",51,0.56244817958846
"q6",16.3808772330304,"Role: Tech",51,0.56244817958846
"q2",15.3292983071234,"Role: Tech",51,0.56244817958846
"q7",14.4119671169345,"Role: Tech",51,0.56244817958846
"q1",12.6663334525026,"Role: Tech",51,0.56244817958846
"q4",12.5726120269221,"Role: Tech",51,0.56244817958846
"q5",10.2795090314368,"Role: Tech",51,0.56244817958846
"q6",21.5350201031162,"Stage: Professional",32,0.483793938627457
"q1",18.6326070823387,"Stage: Professional",32,0.483793938627457
"q2",15.5287237337571,"Stage: Professional",32,0.483793938627457
"q7",13.6538569449353,"Stage: Professional",32,0.483793938627457
"q5",10.6461694514821,"Stage: Professional",32,0.483793938627457
"q3",10.4290012153581,"Stage: Professional",32,0.483793938627457
"q4",9.57462146901265,"Stage: Professional",32,0.483793938627457
"q3",23.3271839676352,"Stage: Student",46,0.709047306342552
"q4",17.1452587801578,"Stage: Student",46,0.709047306342552
"q2",15.3477472196966,"Stage: Student",46,0.709047306342552
"q6",12.3036408719021,"Stage: Student",46,0.709047306342552
"q1",10.9593583370669,"Stage: Student",46,0.709047306342552
"q7",10.8116469450166,"Stage: Student",46,0.709047306342552
"q5",10.1051638785248,"Stage: Student",46,0.709047306342552
"q3",17.1665282854612,"Geo: Global_South",78,0.574992300234321
"q2",16.0675828752614,"Geo: Global_South",78,0.574992300234321
"q6",15.7292452269887,"Geo: Global_South",78,0.574992300234321
"q1",14.3878799544225,"Geo: Global_South",78,0.574992300234321
"q4",13.3942736156782,"Geo: Global_South",78,0.574992300234321
"q7",12.6719655106612,"Geo: Global_South",78,0.574992300234321
"q5",10.5825245315268,"Geo: Global_South",78,0.574992300234321
